Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer
destabilizing_treatment_25,pc3,0.246642001,0.012627745,-1.066528328,-135.3080505,100,190.1848919,basinhopping
destabilizing_treatment_26,pc1,0.254053082,0.066233354,-0.124028507,-129.5051958,100,190.272558,basinhopping
destabilizing_treatment_26,pc2,0.243538502,0.173208731,0.053362709,-137.7902094,100,190.1485354,basinhopping
destabilizing_treatment_26,pc3,0.261715593,0.025277872,0.746532521,-123.6812562,100,190.3645845,basinhopping
destabilizing_treatment_27,pc1,0.257994558,0.093647673,0.200212458,-126.4884695,100,190.3196977,basinhopping
destabilizing_treatment_27,pc2,0.248408148,0.118196375,0.17440259,-133.9097001,100,190.2056686,basinhopping
destabilizing_treatment_27,pc3,0.260427066,0.044095956,0.535940524,-124.649035,100,190.3489959,basinhopping
destabilizing_treatment_28,pc1,0.245294541,0.022952908,-0.528680769,-136.3815746,100,190.1690867,basinhopping
destabilizing_treatment_28,pc2,0.258505423,0.082861223,0.004071798,-126.0990497,100,190.3258646,basinhopping
destabilizing_treatment_28,pc3,0.244423945,0.032249868,0.358498099,-137.078443,100,190.1588933,basinhopping
destabilizing_treatment_29,pc1,0.24912384,-0.007075742,-1.190278277,-133.3457846,100,190.2141087,basinhopping
destabilizing_treatment_29,pc2,0.258665384,0.059251697,-0.215875516,-125.9789641,100,190.3277701,basinhopping
destabilizing_treatment_29,pc3,0.258461198,0.046804547,-0.037600873,-126.1335974,100,190.3253167,basinhopping
destabilizing_treatment_30,pc1,0.244884484,0.120558729,0.005067248,-136.7090538,100,190.1642901,basinhopping
destabilizing_treatment_30,pc2,0.255897917,0.016693491,0.335356986,-128.0872807,100,190.2945762,basinhopping
destabilizing_treatment_30,pc3,0.236881235,0.037059933,0.007358847,-143.222888,100,190.0711959,basinhopping
destabilizing_treatment_31,pc1,0.242285052,0.098398592,-0.221427648,-138.8014819,100,190.1339106,basinhopping
destabilizing_treatment_31,pc2,0.233805159,0.050351185,-0.355851275,-145.784218,100,190.0357449,basinhopping
destabilizing_treatment_31,pc3,0.242906828,0.024049674,-0.757339846,-138.2989763,100,190.1411643,basinhopping
destabilizing_treatment_32,pc1,0.24731598,0.131398956,0.029709113,-134.7740502,100,190.1928007,basinhopping
destabilizing_treatment_32,pc2,0.227094212,0.061346481,-0.022760996,-151.4915434,100,189.9589404,basinhopping
destabilizing_treatment_32,pc3,0.26016581,0.016702591,-0.791138652,-124.8454071,100,190.3458475,basinhopping
destabilizing_treatment_33,pc1,0.258688663,0.129690998,0.157749745,-125.9603799,100,190.3280652,basinhopping
destabilizing_treatment_33,pc2,0.241705533,0.008912405,1.408498977,-139.2707756,100,190.1271599,basinhopping
destabilizing_treatment_33,pc3,0.243661818,0.03853802,0.389818827,-137.6903015,100,190.1499861,basinhopping
destabilizing_treatment_34,pc1,0.246529653,0.010854558,1.370519126,-135.3973577,100,190.1835723,basinhopping
destabilizing_treatment_34,pc2,0.243397142,0.016989282,-0.991163186,-137.9039189,100,190.1468856,basinhopping
destabilizing_treatment_34,pc3,0.247937113,0.107106634,0.037989698,-134.281908,100,190.2001172,basinhopping
